audit_id,device_hostname,device_ip,audit_type,timestamp,phase,status,details,recommendations
2902573c-e788-4b4d-ab7a-57ad7e2e9917,RTR-BRANCH-05.xrnet.net,172.16.39.104,telnet,2025-05-28T06:51:06.875552,connection,Failed,{'method': 'SSH'},
9fa1e524-61a1-42c8-b071-920f927094a5,RTR-BRANCH-04.xrnet.net,172.16.39.103,telnet,2025-05-28T06:51:06.871907,connection,Failed,{'method': 'SSH'},
4f7d3922-b60c-4707-aab1-8f226f494baf,RTR-BRANCH-06.xrnet.net,172.16.39.105,telnet,2025-05-28T06:51:09.944470,connection,Failed,{'method': 'SSH'},
a1b196dd-a9a4-4ebf-881f-fd63f7f98f91,RTR-CORE-01.xrnet.net,172.16.39.100,telnet,2025-05-28T06:51:06.864699,connection,Failed,{'method': 'SSH'},
364b4802-ada7-4475-b732-dd31d0cdb122,RTR-BRANCH-03.xrnet.net,172.16.39.102,telnet,2025-05-28T06:51:06.869162,connection,Failed,{'method': 'SSH'},
5a8267bc-9742-419e-a125-208382f81d5f,RTR-EDGE-02.xrnet.net,172.16.39.101,telnet,2025-05-28T06:51:06.866570,connection,Failed,{'method': 'SSH'},
