audit_id,device_hostname,device_ip,audit_type,timestamp,phase,status,details,recommendations
27bceb03-fbff-4910-b767-33a551c88c4d,RTR-BRANCH-04.xrnet.net,172.16.39.103,telnet,2025-05-27T21:41:09.578426,connection,Failed,{'method': 'SSH'},
974d0de3-326c-4fac-9e52-69f1ad9cec77,RTR-BRANCH-05.xrnet.net,172.16.39.104,telnet,2025-05-27T21:41:09.580633,connection,Failed,{'method': 'SSH'},
f8ae828a-b77b-4fd1-8fde-0ba900302148,RTR-BRANCH-06.xrnet.net,172.16.39.105,telnet,2025-05-27T21:41:12.631555,connection,Failed,{'method': 'SSH'},
2b6a4cf5-f810-41e1-a842-fbc9831bd595,RTR-BRANCH-03.xrnet.net,172.16.39.102,telnet,2025-05-27T21:41:09.572953,connection,Failed,{'method': 'SSH'},
93b4d7d2-8557-4e43-b080-0d4e3909010d,RTR-EDGE-02.xrnet.net,172.16.39.101,telnet,2025-05-27T21:41:09.570869,connection,Failed,{'method': 'SSH'},
3cde34f3-cd90-4db7-9871-d36e26aa185a,RTR-CORE-01.xrnet.net,172.16.39.100,telnet,2025-05-27T21:41:09.569522,connection,Failed,{'method': 'SSH'},
