Processor Pool Total:  156034848 Used:   19801172 Free:  136233676
      I/O Pool Total:   12582912 Used:    4124704 Free:    8458208

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 111   0          0          0       7068          0          0 SNMP Timers     
 110   0          0          0       7068          0          0 IP Traceroute   
  12   0          0          0       7068          0          0 IPC Zone Manager
 102   0          0          0       7068          0          0 AC Switch       
 122   0          0          0       7068          0          0 MRD             
  10   0        252        252       7068          0          0 Environmental mo
 100   0          0          0       7068          0          0 X.25 Encaps Mana
  11   0          0          0       7068          0          0 IPC Dynamic Cach
 126   0        252        252       7068          0          0 PPPoE Flow Contr
  97   0          0          0       7068          0          0 SSS Feature Mana
 128   0          0          0       7068          0          0 IUA Main Process
 129   0        252        252       7068          0          0 RUDPV1 Main Proc
 124   0        252        252       7068          0          0 RLM groups Proce
 131   0          0          0       7068          0          0 bsm_xmt_proc    
 112   0          0          0       7068          0          0 Asy FS Helper   
  91   0          0          0       7068          0          0 IPv6 RIB Redistr
  98   0          0          0       7068          0          0 SSS Feature Time
 114   0          0          0       7068          0          0 Socket Timers   
 136   0        252        252       7068          0          0 Flow Exporter Ti
  89   0        252        252       7068          0          0 TurboACL        
  88   0          0          0       7068          0          0 ICMP event handl
  13   0          0          0       7068          0          0 IPC Periodic Tim
 140   0          0          0       7068          0          0 RARP Input      
 141   0          0          0       7068          0          0 IPv6 Inspect Tim
 142   0          0          0       7068          0          0 LAPB Process    
 143   0          0          0       7068          0          0 PAD InCall      
  83   0        252        252       7068          0          0 AAA Dictionary R
 145   0        252        252       7068          0          0 PPP Bind        
 130   0          0          0       7068          0          0 bsm_timers      
  92   0        252        252       7068          0          0 MOP Protocols   
 148   0        252        252       7068          0          0 RBSCP Background
  14   0          0          0       7068          0          0 IPC Deferred Por
 134   0          0          0       7068          0          0 IP Cache Ager   
  81   0          0          0       7068          0          0 AAA ACCT Proc   
 152   0          0          0       7068          0          0 Authentication P
 153   0          0          0       7068          0          0 Auth-proxy AAA B
 154   0          0          0       7068          0          0 CHKPT EXAMPLE   
  90   0        252        252       7068          0          0 TurboACL chunk  
  80   0        252        252       7068          0          0 AAA Server      
 146   0        252        252       7068          0          0 PPP SSS         
  78   0        252        252       7068          0          0 PI MATM Aging Pr
 159   0          0          0       7068          0          0 Select Timers   
  76   0          0          0       7068          0          0 EAP Framework   
 161   0        252        252       7068          0          0 CIFS API Process
  75   0          0          0       7068          0          0 MAB Framework   
  74   0        252        252       7068          0          0 Dot1x Mgr Proces
  72   0        252        252       7068          0          0 Call Management 
  71   0          0          0       7068          0          0 IGMP Snooping Re
 166   0       7748        252       7068          0          0 FLEX DSPRM MAIN 
 167   0          0          0       7068          0          0 FLEX DSP KEEPALI
 168   0        252        252       7068          0          0 CRM_CALL_UPDATE_
 169   0        252        252       7068          0          0 HDA DSPRM MAIN  
  70   0          0          0       7068          0          0 IGMP Snooping Pr
 171   0        252        252       7068          0          0 AAA Cached Serve
 172   0        252        252       7068          0          0 ENABLE AAA      
 173   0          0          0       7068          0          0 EM Background Pr
 174   0          0          0       7068          0          0 Key chain liveke
 175   0        252        252       7068          0          0 LINE AAA        
 176   0      12652      22816       7068          0          0 LOCAL AAA       
  68   0        252        252       7068          0          0 Ether-Switch RBC
 178   0        252        252       7068          0          0 VSP_MGR         
 147   0          0          0       7068          0          0 MQC Flow Event B
  65   0          0          0       7068          0          0 RF_INTERDEV_DELA
 150   0        252        252       7068          0          0 Inspect process 
 182   0          0          0       7068          0          0 EPM MAIN PROCESS
  64   0        252        252       7068          0          0 VMI Background  
 184   0        252        252       7068          0          0 VPM_MWI_BACKGROU
  63   0        252        252       7068          0          0 Bryce I2C CMD Qu
 155   0          0          0       7068          0          0 CHKPT DevTest   
 187   0          0          0       7068          0          0 FB/KS Log HouseK
 188   0        252        252       7068          0          0 EPHONE MWI BG Pr
  62   0          0          0       7068          0          0 HDV background  
