Processor Pool Total:  156034848 Used:   19751648 Free:  136283200
      I/O Pool Total:   12582912 Used:    4124704 Free:    8458208

 PID TTY  Allocated      Freed    Holding    Getbufs    Retbufs Process
 111   0          0          0       7068          0          0 SNMP Timers     
 112   0          0          0       7068          0          0 Asy FS Helper   
 102   0          0          0       7068          0          0 AC Switch       
 110   0          0          0       7068          0          0 IP Traceroute   
  27   0        252        252       7068          0          0 Serial Backgroun
 100   0          0          0       7068          0          0 X.25 Encaps Mana
  26   0          0          0       7068          0          0 HC Counter Timer
 124   0        252        252       7068          0          0 RLM groups Proce
  97   0          0          0       7068          0          0 SSS Feature Mana
 126   0        252        252       7068          0          0 PPPoE Flow Contr
  30   0        252        252       7068          0          0 SMART           
 128   0          0          0       7068          0          0 IUA Main Process
  98   0          0          0       7068          0          0 SSS Feature Time
 122   0          0          0       7068          0          0 MRD             
 131   0          0          0       7068          0          0 bsm_xmt_proc    
  91   0          0          0       7068          0          0 IPv6 RIB Redistr
 129   0        252        252       7068          0          0 RUDPV1 Main Proc
 134   0          0          0       7068          0          0 IP Cache Ager   
  90   0        252        252       7068          0          0 TurboACL chunk  
 136   0        252        252       7068          0          0 Flow Exporter Ti
  89   0        252        252       7068          0          0 TurboACL        
  88   0          0          0       7068          0          0 ICMP event handl
  31   0        252        252       7068          0          0 GraphIt         
 140   0          0          0       7068          0          0 RARP Input      
 141   0          0          0       7068          0          0 IPv6 Inspect Tim
  83   0        252        252       7068          0          0 AAA Dictionary R
 143   0          0          0       7068          0          0 PAD InCall      
  81   0          0          0       7068          0          0 AAA ACCT Proc   
 145   0        252        252       7068          0          0 PPP Bind        
 130   0          0          0       7068          0          0 bsm_timers      
 147   0          0          0       7068          0          0 MQC Flow Event B
 148   0        252        252       7068          0          0 RBSCP Background
 133   0        252        252       7068          0          0 Dialer Forwarder
 150   0        252        252       7068          0          0 Inspect process 
  79   0        252        252       7068          0          0 EtherChnl       
 152   0          0          0       7068          0          0 Authentication P
 153   0          0          0       7068          0          0 Auth-proxy AAA B
 146   0        252        252       7068          0          0 PPP SSS         
 155   0          0          0       7068          0          0 CHKPT DevTest   
  78   0        252        252       7068          0          0 PI MATM Aging Pr
  23   0        252        252       7068          0          0 DDR Timers      
  76   0          0          0       7068          0          0 EAP Framework   
 159   0          0          0       7068          0          0 Select Timers   
  75   0          0          0       7068          0          0 MAB Framework   
 161   0        252        252       7068          0          0 CIFS API Process
  21   0          0          0       7068          0          0 AAA_SERVER_DEADT
  74   0        252        252       7068          0          0 Dot1x Mgr Proces
  20   0        252        252       7068          0          0 AAA high-capacit
  19   0        252        252       7068          0          0 ATM Idle Timer  
 166   0       7760        304       7068          0          0 FLEX DSPRM MAIN 
 167   0          0          0       7068          0          0 FLEX DSP KEEPALI
 168   0        252        252       7068          0          0 CRM_CALL_UPDATE_
 169   0        252        252       7068          0          0 HDA DSPRM MAIN  
 170   0          0          0       7068          0          0 cpf_process_tpQ 
 171   0        252        252       7068          0          0 AAA Cached Serve
 172   0        252        252       7068          0          0 ENABLE AAA      
 173   0          0          0       7068          0          0 EM Background Pr
 174   0          0          0       7068          0          0 Key chain liveke
 175   0        252        252       7068          0          0 LINE AAA        
 176   0       2532       5200       7068          0          0 LOCAL AAA       
  18   0       1664       1664       7068          0          0 ARP Background  
 178   0        252        252       7068          0          0 VSP_MGR         
  33   0          0          0       7068          0          0 SERIAL A'detect 
  80   0        252        252       7068          0          0 AAA Server      
 181   0          0          0       7068          0          0 IPSECv6 PS Proc 
 182   0          0          0       7068          0          0 EPM MAIN PROCESS
  16   0          0          0       7068          0          0 IPC BackPressure
 184   0        252        252       7068          0          0 VPM_MWI_BACKGROU
  71   0          0          0       7068          0          0 IGMP Snooping Re
 154   0          0          0       7068          0          0 CHKPT EXAMPLE   
 187   0          0          0       7068          0          0 FB/KS Log HouseK
 188   0          0          0       7068          0          0 EPHONE MWI BG Pr
  70   0          0          0       7068          0          0 IGMP Snooping Pr
 190   0          0          0       7068          0          0 VOICE REG BG Pro
 191   0          0          0       7068          0          0 Presence Process
  68   0        252        252       7068          0          0 Ether-Switch RBC
  14   0          0          0       7068          0          0 IPC Deferred Por
  13   0          0          0       7068          0          0 IPC Periodic Tim
  12   0          0          0       7068          0          0 IPC Zone Manager
  11   0          0          0       7068          0          0 IPC Dynamic Cach
  72   0        252        252       7068          0          0 Call Management 
  10   0        252        252       7068          0          0 Environmental mo
  65   0          0          0       7068          0          0 RF_INTERDEV_DELA
  64   0        252        252       7068          0          0 VMI Background  
  63   0        252        252       7068          0          0 Bryce I2C CMD Qu
 204   0          0          0       7068          0          0 Crypto INT      
  62   0          0          0       7068          0          0 HDV background  
  61   0        252        252       7068          0          0 FLEX DNLD MAIN  
   7   0        252        252       7068          0          0 Timers          
 208   0          0          0       7068          0          0 IPSEC manual key
   6   0          0          0       7068          0          0 Pool Manager    
 210   0          0          0       7068          0          0 CRYPTO QoS proce
  60   0          0          0       7068          0          0 DSPFARM DSP READ
 212   0          0          0       7068          0          0 Crypto PAS Proc 
  35   0          0          0       7068          0          0 Critical Bkgnd  
 214   0          0          0       7068          0          0 GDOI GM Process 
 215   0          0          0       7068          0          0 UNICAST REKEY   
 216   0          0          0       7068          0          0 UNICAST REKEY AC
 217   0        252        252       7068          0          0 Control-plane ho
 218   0          0          0       7068          0          0 PM Callback     
  58   0        252        252       7068          0          0 SM Monitor      
 225   0        252        252       7068          0          0 RMON Deferred Se
 221   0        252        252       7068          0          0 AAA SEND STOP EV
