hostname,ip_address,line,telnet_allowed,login_method,exec_timeout,risk_level,connection_method,timestamp,error
Cisco 2911,N/A,N/A,UNKNOWN,N/A,N/A,UNKNOWN,SSH via Jump Host,2025-05-26T23:31:37.257797,
Cisco 2921,N/A,N/A,UNKNOWN,N/A,N/A,UNKNOWN,SSH via Jump Host,2025-05-26T23:31:43.788707,
