device_ip,hostname,success,timestamp,aux_telnet_enabled,vty_telnet_enabled,con_telnet_enabled,telnet_violations_count,risk_level,compliance_status,error_message
192.168.1.1,Router-01,False,2025-05-28T20:10:30.463070,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 192.168.1.1
192.168.1.2,Switch-01,False,2025-05-28T20:10:49.862365,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 192.168.1.2
192.168.1.3,Router-02,False,2025-05-28T20:11:09.163976,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 192.168.1.3
