device_ip,hostname,success,timestamp,aux_telnet_enabled,vty_telnet_enabled,con_telnet_enabled,telnet_violations_count,risk_level,compliance_status,error_message
172.16.39.100,RTR-CORE-01.xrnet.net,True,2025-05-28T14:33:44.817842,False,False,False,0,LOW,COMPLIANT,
172.16.39.101,RTR-EDGE-02.xrnet.net,True,2025-05-28T14:34:01.602085,False,False,False,0,LOW,COMPLIANT,
172.16.39.102,RTR-BRANCH-03.xrnet.net,False,2025-05-28T14:34:17.786111,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 172.16.39.102
172.16.39.103,RTR-BRANCH-04.xrnet.net,False,2025-05-28T14:34:23.998482,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 172.16.39.103
172.16.39.104,RTR-BRANCH-05.xrnet.net,False,2025-05-28T14:34:30.139428,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 172.16.39.104
172.16.39.105,RTR-BRANCH-06.xrnet.net,False,2025-05-28T14:34:33.211243,False,False,False,0,UNKNOWN,UNKNOWN,Failed to connect to device 172.16.39.105
